gene_symbol	ATC1	ATC2	ATC3	PTC1	PTC2	PTC3
CCDC50	4673	3917	6295	3779	2264	4368
CCDC51	374	732	454	767	507	398
CCDC52	1122	746	505	521	570	479
CCDC53	571	710	701	949	330	697
CCDC54	1	3	2	1	0	2
CCDC55	1051	2307	1085	1214	1150	1191
CCDC56	427	2237	336	1071	973	977
CCDC57	155	327	261	414	410	428
CCDC58	876	608	376	255	239	201
CCDC59	1131	560	759	900	657	626
CCDC60	0	0	0	0	0	0
CCDC61	232	308	178	291	254	353
CCDC62	25	2	10	3	8	4
CCDC63	0	0	0	0	1	0
CCDC64B	1	1	0	1	0	1
CCDC64	15	8	69	178	25	5
CCDC65	14	6	2	38	19	19
CCDC66	292	522	515	466	251	287
CCDC67	4	0	0	1	0	1
CCDC68	565	628	267	144	176	206
CCDC69	782	219	699	44	224	48
CCDC6	3910	8772	3067	2714	2436	3142
CCDC70	0	0	1	0	1	0
CCDC71	426	902	731	922	807	658
CCDC72	1621	4275	3157	2346	3227	2552
CCDC73	118	46	98	105	38	37
CCDC74A	217	124	82	184	200	766
CCDC74B	207	43	26	119	119	371
CCDC75	657	564	1378	672	763	652
CCDC76	785	642	741	597	277	348
CCDC77	779	1336	410	496	330	495
CCDC78	7	68	37	117	46	67
CCDC79	0	0	0	0	1	0
CCDC7	36	9	24	25	20	17
CCDC80	5402	29000	9486	100040	17187	25373
CCDC81	10	18	12	12	11	14
CCDC82	702	2081	1321	704	621	934
CCDC83	0	0	0	0	0	0
CCDC84	72	359	153	229	102	149
CCDC85A	3	511	7	264	67	26
CCDC85B	5893	6990	3071	1418	3178	3516
CCDC85C	1285	2843	1315	3182	1996	1774
CCDC86	2216	4147	2191	1043	693	736
CCDC87	12	17	10	80	16	20
CCDC88A	2123	1827	4036	2735	3320	5267
CCDC88B	59	81	188	189	193	110
CCDC88C	666	1118	655	397	527	872
CCDC89	41	29	3	49	6	3
CCDC8	450	231	0	149	4	614
CCDC90A	2040	975	1431	1375	1188	1505
CCDC90B	1214	1607	2763	1887	1689	1627
CCDC91	1108	948	1112	1246	651	644
CCDC92	1513	1317	999	1426	1378	1862
CCDC93	1570	2132	2506	2040	1925	2135
CCDC94	862	713	424	483	515	483
CCDC96	53	70	60	220	58	41
CCDC97	2349	1889	1250	941	1005	914
CCDC99	2894	3716	1822	1841	924	1179
CCDC9	1061	691	477	605	477	676
CCHCR1	563	1132	627	939	712	1068
CCIN	23	93	12	29	2	0
CCKAR	0	0	0	2	0	2
CCKBR	0	0	0	0	0	0
CCK	0	0	0	1	1	1
CCL11	0	0	3	44	11	2
CCL13	0	0	0	0	0	0
CCL14-CCL15	0	0	0	0	0	0
CCL14	0	7	5	0	0	0
CCL15	0	0	0	0	1	1
CCL16	0	0	0	0	0	0
CCL17	0	0	0	0	3	0
CCL18	0	1	0	1	0	0
CCL19	0	0	0	0	0	0
CCL1	0	0	0	0	0	0
CCL20	103	3	8	56	383	0
CCL21	0	0	0	0	3	0
CCL22	0	0	0	0	0	0
CCL23	0	0	1	0	0	0
CCL24	0	0	0	0	0	0
CCL25	0	1	0	2	0	1
CCL26	28	71	0	3	5	2
CCL27	1	0	0	1	0	0
CCL28	5	100	13	235	496	287
CCL2	8	43	3238	1483	1621	98
CCL3L1	0	0	0	0	0	2
CCL3L3	2	1	3	1	0	0
CCL3	59	17	116	0	0	0
CCL4L2	1	1	0	0	0	0
